timestamp,track_id,merged,step,filename,tech,p_memory_percent,memory_percent,cpu,function,bytes_sent,bytes_recv,disk_percent,name,time,error,file_bytes,is_merged,workflow,filepath,mb/s
17-08-2023 15:26:59.049,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,2,blog.csv,xethub,20.40208,270.30933,31.999999999999993,pyxet,0.0703125,0.099609375,14.399999999999995,pyxet merged upload,23.62836503982544,,76.20008087158203,true,append,,3.224940902307347
17-08-2023 15:27:26.163,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,2,blog.csv,lakefs,23.559708,303.75974800000006,0.0,lakefs,156.212890625,77.841796875,16.199999999999996,lakefs merged upload,27.047550916671753,,76.20008087158203,true,append,,2.817263607575402
17-08-2023 15:27:54.992,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,xethub,25.27125799999999,325.78636800000004,0.0,git-xet,0.396484375,0.158203125,17.4,gitxet merged upload,28.77533793449402,,76.20008087158203,true,append,,2.6481037701468066
17-08-2023 15:28:09.082,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,dvc,13.045593,168.781316,0.0,dvc,79.8837890625,0.9521484375,8.999999999999998,dvc merged upload,14.060810089111328,,76.20008087158203,true,append,,5.4193236654686965
17-08-2023 15:28:39.563,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,lfs,26.937390999999998,348.873417,0.0,lfs s3,156.05078125,77.63671875,18.6,lfs s3 merged upload,30.44983696937561,,76.20008087158203,true,append,,2.502479108450365
17-08-2023 15:28:55.377,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,s3,13.889806999999994,180.275202,0.0,s3,79.412109375,1.4052734375,9.599999999999998,s3 merged upload,15.763592958450317,,76.20008087158203,true,append,,4.833928475090053
17-08-2023 15:29:03.129,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,lfs,6.945842999999999,90.164495,0.0,lfs git,79.263671875,0.724609375,4.8,lfs git merged upload,7.718847036361694,,76.20008087158203,true,append,,9.871951149261173
17-08-2023 15:29:18.914,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,xethub,14.007995999999999,180.09067199999998,13.9,pyxet,0.046875,0.068359375,9.599999999999998,pyxet merged upload,15.73508095741272,,76.20008087158203,true,append,,4.842687564037257
17-08-2023 15:29:39.311,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,3,blog.csv,lakefs,18.371688,236.278742,0.0,lakefs,156.09765625,77.689453125,12.599999999999996,lakefs merged upload,20.326536178588867,,76.20008087158203,true,append,,3.748798132750628
17-08-2023 15:30:09.689,cf86d195-935b-49a8-aaa6-a4bf5bb5c6b2,true,4,blog.csv,xethub,27.05954200000001,339.9635559999999,0.0,git-xet,0.34375,0.201171875,18.6,gitxet merged upload,30.32265591621399,,76.20008087158203,true,append,,2.5129751523789405
